date,ASUN,AXIA,CMCL,EDGR,FCA,INN,INV,NTFD,NED,PHL,SCIL,SIM,WPHL,ZIMW
2024-10-1,0.0428,0.0866,14.7,0.0128,0.0502,0.4598,0.08,1.9,12,0.165,0.21,0.3405,10.05,0.0149

2024-10-1,0.0428,0.0866,14.7,0.0128,0.0502,0.4598,0.08,1.9,12,0.165,0.21,0.3405,10.05,0.0149
2024-10-2,2240,NaN,0.0128,0.0502,5127,NaN,12,0.165,0,NaN,0.0149
2024-10-2
2024-10-2,2240,NaN,0.0128,0.0502,5127,NaN,12,0.165,0,NaN,0.0149
2024-10-2,0.0395,0.0819,14.7,0.0128,0.0502,0.46,0.08,1.9044,12,0.165,0.21,0.3498,10.05,0.0147
2024-10-2
2024-10-2,0.0428,430,NaN,0.0452,0.4598,0,NaN,0.165,0.21,267,NaN
2024-10-2,0.0428,0.0866,14.7,0.0128,0.0502,0.4598,0.08,1.9,12,0.165,0.21,0.3405,10.05,0.0149
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2
2024-10-2
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-2,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
function theDate(today) {
  const year = today.getFullYear().toString();
  const month = ( today.getMonth() + 1 ).toString();
  const day = today.getDate().toString();

  return `${year}-${month}-${day}`;
}
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
