date,ASUN,AXIA,CMCL,EDGR,FCA,INN,INV,NTFD,NED,PHL,SCIL,SIM,WPHL,ZIMW
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147

2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
2024-10-3,0.0395,0.074,14.7,0.0128,0.0464,0.4569,0.08,1.9044,12,0.165,0.21,0.3463,10.05,0.0147
