date,ASUN,AXIA,CMCL,EDGR,FCA,INN,INV,NTFD,NED,PHL,SCIL,SIM,WPHL,ZIMW
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400

2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,2565,9456,0,0,88975,1015,78988,0,0,6363,0,1480,0,6400
2024-10-3,1009,147,0,0,300,6764,0,0,0,3560,215,2254,0,14883
2024-10-4,980,68,0,5447042,3010,16673,0,4,0,17688,74,311,0,0
2024-10-7,6710,8335,0,14700,5580,162956,0,5,0,225,235,64816,0,500
2024-10-16,1000,0,0,0,175108,149035,0,351,0,7314,0,604421,0,12350
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-17,6679,3704,0,0,5230,426329,0,174,0,560083,0,150144,0,4354
2024-10-23,1600,13671,0,0,697,3014,0,10,0,22064,2767,3885,0,300
2024-10-28,1600,13671,0,0,697,3014,0,10,0,22064,2767,3885,0,300
2024-10-28,1300,13425,0,0,58245,4251,0,5,0,1607,532755,609,0,0
2024-10-28,1000,1880,0,0,0,302740,0,0,0,970,0,258,0,0
2024-10-28,1000,1880,0,0,0,302740,0,0,0,970,0,258,0,0
2024-10-28,1300,13425,0,0,58245,4251,0,5,0,1607,532755,609,0,0
2024-10-28,1180,0,10,0,93831,1166260,110,195,0,92823,47,1751,0,0
2024-10-30,1330,14237,8,0,8652,1611,0,10,0,2800,45,3039,0,1000
2024-10-30,53,716364,11400,0,4699,4752,6990,0,0,858,0,450,0,0
2024-10-30,53,716364,11400,0,4699,4752,6990,0,0,858,0,450,0,0
2024-10-31,3612,9904,0,0,7000,13169,0,15,0,10153,0,4380,0,0
2024-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-1,200,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-1,200,655075,0,0,0,38818,0,3,0,125,0,995,0,0.0137
2024-11-1,200,655075,0,0,0,38818,0,3,0,125,0,995,0,4000
2024-11-6,3000,655,0,0,1300,1093,6990,0,0,1560,0,1796,0,2000
2024-11-6,1130,743577,0,0,3641,53889,0,0,0,128810,24,3631,0,5300
2024-11-7,2150,3786,1,16565,16983,1898,0,0,0,33485,214,381068,0,400
2024-11-7,155754,1776430,5,8500,160357,9456,0,133,2,15886,151,941999,0,5500
2024-11-7,155754,1776430,5,8500,160357,9456,0,133,2,15886,151,941999,0,5500
2024-11-8,2540,106781,0,0,12752,2867,0,3,0,930717,29,527,0,0
2024-11-11,0,NaN,0,0,100,NaN,0,0,0,347,295,0,0,0
2024-11-11,0,1000,0,0,100,1760,0,0,0,347,295,0,0,0
2024-11-12,3714,52,34,0,2320,7811,0,0,0,3073,0,1315,0,150
2024-11-13,5215,2187,2,90432,1294509,5063,0,0,0,339,59,24187,10000,0
2024-11-14,300,336,0,0,54023,2893,0,7,0,6401,0,224,0
2024-11-14,300,336,0,0,54023,2893,0,7,0,6401,0,224,0,0
2024-11-15,300,3925,0,200,3570,268,757576,6,0,41848,0,4364,0,1100
2024-11-18,2804,495,0,0,349514,40245,5422,0,0,205,22,464741,0,0
2024-11-19,2804,495,0,0,349514,40245,5422,0,0,205,22,464741,0,0
2024-11-19,1500,100,7,36161,1350,106632,0,90,0,1288,0,280280,0,0
2024-11-20,875,220,0,21578,2150,694661,0,0,0,1475,6089,10318,0,17810
2024-11-21,3550,145,2,0,82583,44452,8854,0,0,1200,24515,39997,0,0
2024-11-22,1880,2205,3,0,1377,2279630,0,0,0,362,786,630,0
2024-11-22,1880,2205,3,0,1377,2279630,0,0,0,362,786,630,0,3363
2024-11-27,150,230,15,400,32693,55922,0,0,0,2550,40,8190,0,0
2024-11-27,3300,468,10,0,10775,2900,0,0,0,21787,300,179220,0,0
2024-11-27,2560,159990,1,0,98067,158402,0,102,0,77992,1108,112158,60,0
2024-11-28,330,1065,0,0,5583,211198,0,100,0,23999,14441,4221,0,0
2024-11-30,11260,771185,0,108833,30218,120,0,340,0,38196,8641,31567,0,0
2024-12-3,729900,13767,0,0,16695,10299,0,18,0,795,125,66135,0,8700
2024-12-3,3246,684,0,0,1523447,11103,0,1719,0,50,0,30436,0,470
2024-12-4,6425,1985719,0,0,120551,16595,0,161,0,37435,140,325,0,0
2024-12-5,850,1386421,0,0,0,14208263,0,0,0,3621,413,39320237,0,700
2024-12-6,9418,1067,0,0,1002,61761,0,5,0,2335,385,29240,0,0
2024-12-9,0,19500,0,0,1396,109868,0,10,0,186,55,142004,0,0
2024-12-10,2310,169,0,0,122540,14330,0,87,0,27073,0,27867,0,0
2024-12-11,634,66477,0,12600,3470,150461,0,0,0,35781,0,3147,0,0
2024-12-12,1630,200,6,0,947,10644,3948,0,0,170,0,0,0,0
2024-12-13,87832,83111,0,0,9685,57961,0,270,0,92032,6736,151867,0,21107
2024-12-16,87832,83111,0,0,9685,57961,0,270,0,92032,6736,151867,0,21107
2024-12-16,87832,83111,0,0,9685,57961,0,270,0,92032,6736,151867,0,21107
2024-12-17,87832,83111,0,0,9685,57961,0,270,0,92032,6736,151867,0,21107
2024-12-17,6961,0,0,1050,1593,5577,15139,3586,0,1350,0,120,0,0
2024-12-18,900,285,0,1050,364112,299406,85000,15,0,31936,0,120,0,0
2024-12-19,1470,120,0,0,70809,16317,0,0,0,1105,70,15101,49000,0
2024-12-20,998294,273996,0,0,125034,157687,0,0,0,34211,60,414531,0,0
2024-12-24
2024-12-24,0,0,0,0,9623,1077,0,64,0,60,0,3722,0,0
2024-12-27,0,200,0,0,2015,17063,0,30,0,15155,0,236,0,0
2024-12-30,0,135,0,0,2500,7300,0,100,0,500,249,150,0,0
2024-12-31,0,200,0,0,2512,454700,0,0,0,0,0,489320,0,0
2025-1-2,0,800,0,0,4835,1761,0,0,0,0,23,309,0,1700
2025-1-3,16613,800,0,0,6073,310,0,6,0,1152,0,16745,0,843907
2025-1-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-1-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2025-1-6,300,544,0,6142,143835,6341,0,0,0,1491,380,10735,13,0
2025-1-7,0,2626,0,176455,2169,2003,0,0,0,1368,0,230,0,0
2025-1-8,0,2500,0,0,35495,126806,200,0,0,924,50,2007,0,100
2025-1-9,4878,84872,0,0,209562,25270,30,0,6,1123,359040,58787,0,100
2025-1-10,400,31029,0,0,127368,711,49368,0,0,164766,442,3758,0,329
2025-1-13,13059,60,0,0,3520,2378,0,0,0,886,655,655160,0,1300
2025-1-14,5700,357448,0,0,301005,1741,4936,0,0,1924,647,2040,0,400
2025-1-15,6000,595,0,0,736150,4045,20616,0,0,1000,7,191873,0,3300
